buyer,style,due_date,po,po_qty,packed_qty
RTS,S700612,2021/1/8,185021243,14,14
MUM,AF694,2021/1/10,124126446,5076,5139
OTY,665679_FA21,2021/1/12,110348997,237,239
OTY,722911_FA21,2021/1/13,152606515,1806,1874
RTS,S700616,2021/1/13,186201775,2080,2061
MUM,AC1113,2021/1/17,117145438,96,91
RXY,DAW20330Z_Q421,2021/1/18,184303457,1743,1770
MMT,AW31100029144/B,2021/1/18,150580317,15,15
RTS,S700612,2021/1/18,179458835,39,53
MUM,AC1113,2021/2/13,141195379,124,139
MES,NEA102_10,2021/2/13,108399366,11670,11670
AME,669433_SU21,2021/2/13,184627274,165,161
MES,LST685_21,2021/2/13,182136426,1774,1717
RTS,S700708,2021/2/14,118633076,14676,17582
RXY,MAX200449_Q421,2021/2/14,104158608,89,94
RTS,S700612,2021/2/14,172246480,1795,1876
RTS,S700612,2021/2/14,177346018,50,49
MES,NEA104_15,2021/2/14,143709608,3101,3036
RTS,S700616,2021/2/15,142503859,329,339
APL,R00123,2021/2/15,184356955,15818,18390
RXY,DAW20330Z_Q421,2021/2/15,137311535,41,58
RTS,S700615,2021/2/15,135023796,982,1051
MES,LNEA301,2021/2/15,105392402,12769,13280
MMT,RU31100027853,2021/2/15,149763243,394,391
RTS,S700616,2021/2/16,148271187,6192,6448
RTS,S700616,2021/2/16,190193335,810,954
GTG,5EMR6_BLUEC421,2021/2/16,191346987,14829,16623
GTG,554401_C221LRP,2021/2/17,168805587,4128,4169
MES,LNEA105_8,2021/2/17,157618039,5508,5508
RXY,DAW20330Z_Q421,2021/2/17,195345402,406,390
AME,679311_FA21,2021/2/18,193184866,21,21
MES,LNEA100_6,2021/2/18,150134923,5284,5709
MMT,AW31100029144/B,2021/2/18,178601342,34,35
MES,ST685_24,2021/2/19,132958803,900,900
AME,669433_SU21,2021/2/19,187074032,44,49
RTS,S700708,2021/2/19,189780643,581,592
AME,744258,2021/3/30,159351919,534,529
RXY,DAW20330Z_Q421,2021/3/30,192177330,85,84
GTG,0Z0P8_5PK_C321,2021/3/30,168775057,1932,1893
AME,669433_SU21,2021/3/30,198930477,42,41
MUM,AF694,2021/3/31,111011504,58,64
POP,POP66,2021/3/31,163618389,734,800
POP,POP502,2021/3/31,179379301,59,64
MES,LNEA101_5,2021/4/1,168258438,3672,3672
MES,LNEA108_2,2021/4/1,133798817,5400,5400
OTY,700745_FA21,2021/4/8,169663168,4122,5422
OTY,722911_FA21,2021/4/8,197476131,5678,6210
RXY,MAX200449_Q321,2021/4/8,198043168,24786,25530
GTG,5P2GZ_C421,2021/4/8,122351635,264,256
AME,679311_FA21,2021/4/8,163236302,21,20
MUM,AC1113,2021/4/9,182108712,962,1039
RXY,DAW20330Z_Q421,2021/4/9,187047892,577,623
AME,744258,2021/4/9,151525470,624,668
AME,669433_SU21,2021/4/9,106411987,190,190
AME,669433_SU21,2021/4/9,111920395,138,138
POP,POP66,2021/4/9,130836113,1507,1722
RTS,S700612,2021/4/9,116224175,426,478
AME,744258,2021/4/9,134348556,185,202
MMT,AW31100029144/B,2021/4/9,138761668,26,31
POP,POP66,2021/4/9,176036848,3444,3818
RTS,S700612,2021/4/9,114412310,101,117
JTS,557600,2021/4/9,168110915,1589,1684
RXY,MAX200449_Q421,2021/4/9,117149148,19,20
POP,POP502,2021/4/9,186679146,1007,997
OTY,722911_FA21,2021/4/9,144462911,3553,3517
MES,NEA107_11,2021/4/9,106056467,5347,5240
RTS,S700616,2021/4/10,118580708,3951,4346
AME,669433_SU21,2021/5/3,116457817,1339,1431
OTY,722911_FA21,2021/5/3,172802788,953,1032
MUM,AK798,2021/6/30,153253160,681,681
MUM,AC1113,2021/6/30,116601295,318,318
RTS,S700616,2021/6/30,177267629,784,784
OTY,722911_FA21,2021/7/1,155171425,221,257
OTY,381883_FA21,2021/7/1,136932147,780,900
OTY,686589_FA21,2021/7/26,124646370,1570,1703
RTS,S700613,2021/9/11,183273301,164,0
GTG,5P2GZ_C421,2021/10/3,168165339,817,0
MUM,AK798,2021/10/3,130389311,449,0
POP,POP66,2021/10/3,139754298,31519,0
MUM,AC1113,2021/10/5,135702853,1764,0
RXY,DAM20116_Q421,2021/10/5,116366847,162,0
RXY,DAW20330Z_Q421,2021/10/5,183555794,17,0
GTG,554401_C421LRP,2021/10/6,179460194,17000,0
MES,LST680_24,2021/10/6,130186591,7698,0
AME,669433_SU21,2021/11/3,107094692,105,0
MUM,AC1113,2021/11/3,188637733,1133,0
RXY,WAX32204_Q421,2021/11/3,172507152,20648,0
MUM,AF694,2021/11/3,184633929,9781,0
POP,POP66,2021/11/29,194805028,462,0
OTY,686681_FA21,2021/11/29,113691312,2766,0
GTG,2E8ME_C421_NVN,2021/11/30,169330410,1521,0
JTS,557600,2021/12/1,103590358,403,0
OTY,381883_FA21,2021/12/2,106392991,3435,0
MUM,AK798,2021/12/2,152467565,969,0
MUM,AK798,2021/12/2,155815079,5001,0
RXY,WAX32204_Q421,2021/12/2,100013063,465,0
AME,669433_SU21,2021/12/3,132471478,464,0
AME,669433_SU21,2021/12/3,127819673,675,0
AME,669433_SU21,2021/12/3,194539037,346,0
HAN,GP159240,2021/12/3,193717375,336,0
